LOCATION,YEAR,Channel,Region,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicassen
AUS,1971,2,3,12669,9656,7561,214,2674,1338
AUS,1972,2,3,7057,9810,9568,1762,3293,1776
AUS,1973,2,3,6353,8808,7684,2405,3516,7844
AUS,1974,1,3,13265,1196,4221,6404,507,1788
AUS,1975,2,3,22615,5410,7198,3915,1777,5185
AUS,1976,2,3,9413,8259,5126,666,1795,1451
AUS,1977,2,3,12126,3199,6975,480,3140,545
AUS,1978,2,3,7579,4956,9426,1669,3321,2566
AUS,1979,1,3,5963,3648,6192,425,1716,750
AUS,1980,2,3,6006,11093,18881,1159,7425,2098
AUS,1981,2,3,3366,5403,12974,4400,5977,1744
AUS,1982,2,3,13146,1124,4523,1420,549,497
AUS,1983,2,3,31714,12319,11757,287,3881,2931
AUS,1984,2,3,21217,6208,14982,3095,6707,602
AUS,1985,2,3,24653,9465,12091,294,5058,2168
AUS,1986,1,3,10253,1114,3821,397,964,412
AUS,1987,2,3,1020,8816,12121,134,4508,1080
AUS,1988,1,3,5876,6157,2933,839,370,4478
AUS,1989,2,3,18601,6327,10099,2205,2767,3181
AUS,1990,1,3,7780,2495,9464,669,2518,501
AUS,1991,2,3,17546,4519,4602,1066,2259,2124
AUS,1992,1,3,5567,871,2010,3383,375,569
AUS,1993,1,3,31276,1917,4469,9408,2381,4334
AUS,1994,2,3,26373,36423,22019,5154,4337,16523
AUS,1995,2,3,22647,9776,13792,2915,4482,5778
AUS,1996,2,3,16165,4230,7595,201,4003,57
AUS,1997,1,3,9898,961,2861,3151,242,833
AUS,1998,1,3,14276,803,3045,485,100,518
AUS,1999,2,3,4113,20484,25957,1158,8604,5206
AUS,2000,1,3,43088,2100,2609,1200,1107,823
AUS,2001,1,3,18815,3610,11107,1148,2134,2963
AUS,2002,1,3,2612,4339,3133,2088,820,985
AUS,2003,1,3,21632,1318,2886,266,918,405
AUS,2004,1,3,29729,4786,7326,6130,361,1083
AUS,2005,1,3,1502,1979,2262,425,483,395
AUS,2006,2,3,688,5491,11091,833,4239,436
AUS,2007,1,3,29955,4362,5428,1729,862,4626
AUS,2008,2,3,15168,10556,12477,1920,6506,714
AUS,2009,2,3,4591,15729,16709,33,6956,433
AUS,2010,1,3,56159,555,902,10002,212,2916
AUS,2011,1,3,24025,4332,4757,9510,1145,5864
AUS,2012,1,3,19176,3065,5956,2033,2575,2802
AUS,2013,2,3,10850,7555,14961,188,6899,46
AUS,2014,2,3,630,11095,23998,787,9529,72
AUT,1990,2,3,9670,7027,10471,541,4618,65
AUT,1991,2,3,5181,22044,21531,1740,7353,4985
AUT,1992,2,3,3103,14069,21955,1668,6792,1452
AUT,1993,2,3,44466,54259,55571,7782,24171,6465
AUT,1994,2,3,11519,6152,10868,584,5121,1476
AUT,1995,2,3,4967,21412,28921,1798,13583,1163
AUT,1996,1,3,6269,1095,1980,3860,609,2162
AUT,1997,1,3,3347,4051,6996,239,1538,301
AUT,1998,2,3,40721,3916,5876,532,2587,1278
AUT,1999,2,3,491,10473,11532,744,5611,224
AUT,2000,1,3,27329,1449,1947,2436,204,1333
AUT,2001,1,3,5264,3683,5005,1057,2024,1130
AUT,2002,2,3,4098,29892,26866,2616,17740,1340
AUT,2003,2,3,5417,9933,10487,38,7572,1282
AUT,2004,1,3,13779,1970,1648,596,227,436
AUT,2005,1,3,6137,5360,8040,129,3084,1603
AUT,2006,2,3,8590,3045,7854,96,4095,225
AUT,2007,2,3,35942,38369,59598,3254,26701,2017
AUT,2008,2,3,7823,6245,6544,4154,4074,964
AUT,2009,2,3,9396,11601,15775,2896,7677,1295
AUT,2010,1,3,4760,1227,3250,3724,1247,1145
AUT,2011,2,3,85,20959,45828,36,24231,1423
AUT,2012,1,3,9,1534,7417,175,3468,27
AUT,2013,2,3,19913,6759,13462,1256,5141,834
AUT,2014,1,3,2446,7260,3993,5870,788,3095
AUT,2015,1,3,8352,2820,1293,779,656,144
BEL,1970,1,3,16705,2037,3202,10643,116,1365
BEL,1971,1,3,18291,1266,21042,5373,4173,14472
BEL,1972,1,3,4420,5139,2661,8872,1321,181
BEL,1973,2,3,19899,5332,8713,8132,764,648
BEL,1974,2,3,8190,6343,9794,1285,1901,1780
BEL,1975,1,3,20398,1137,3,4407,3,975
BEL,1976,1,3,717,3587,6532,7530,529,894
BEL,1977,2,3,12205,12697,28540,869,12034,1009
BEL,1978,1,3,10766,1175,2067,2096,301,167
BEL,1979,1,3,1640,3259,3655,868,1202,1653
BEL,1980,1,3,7005,829,3009,430,610,529
BEL,1981,2,3,219,9540,14403,283,7818,156
BEL,1982,2,3,10362,9232,11009,737,3537,2342
BEL,1983,1,3,20874,1563,1783,2320,550,772
BEL,1984,2,3,11867,3327,4814,1178,3837,120
BEL,1985,2,3,16117,46197,92780,1026,40827,2944
BEL,1986,2,3,22925,73498,32114,987,20070,903
BEL,1987,1,3,43265,5025,8117,6312,1579,14351
BEL,1988,1,3,7864,542,4042,9735,165,46
BEL,1989,1,3,24904,3836,5330,3443,454,3178
BEL,1990,1,3,11405,596,1638,3347,69,360
BEL,1991,1,3,12754,2762,2530,8693,627,1117
BEL,1992,2,3,9198,27472,32034,3232,18906,5130
BEL,1993,1,3,11314,3090,2062,35009,71,2698
BEL,1994,2,3,5626,12220,11323,206,5038,244
BEL,1995,1,3,3,2920,6252,440,223,709
